List,Order,Item,Context,Box,Gender,Condition,BoxName,GenderName,FirstDisplay,SecondDisplay
1,30,5,The secretary below the dame is on Number 6.,2,0,1,two boxes,match,E05_1_1.jpg,E05_1_2.jpg
1,31,X32,There is a giraffe on the same line as the van.,2,,,,,X32_9_1.jpg,X32_9_2.jpg
1,32,X24,The book is on Number 4.,1,,,,,X24_9_1.jpg,X24_9_2.jpg
1,33,40,The groom next to the hairdresser is on Number 3.,1,1,4,one box,mismatch,E40_4_1.jpg,E40_4_2.jpg
1,34,X40,"There is a swing above the thief, and it is on Number 1.",1,,,,,X40_9_1.jpg,X40_9_2.jpg
1,35,X21,The interphone is on Number 3.,2,,,,,X21_9_1.jpg,X21_9_2.jpg
1,36,3,The girl next to the grandfather is on Number 1.,2,1,2,two boxes,mismatch,E03_2_1.jpg,E03_2_2.jpg
1,37,X79,The envelope is on Number 5.,1,,,,,X79_9_1.jpg,X79_9_2.jpg
1,38,X22,"The ladybug is on Number 2, above the headphones and the canary.",3,,,,,X22_9_1.jpg,X22_9_2.jpg
1,39,18,The dressmaker above the nymph is on Number 3.,1,0,3,one box,match,E18_3_1.jpg,E18_3_2.jpg
1,40,X19,The turtle is on Number 5 and it is next to the gardener.,1,,,,,X19_9_1.jpg,X19_9_2.jpg
1,41,X56,"The pilot is below the carrot, and he is on Number 6.",2,,,,,X56_9_1.jpg,X56_9_2.jpg
1,42,16,The footballer above the housekeeper is on Number 1.,1,1,4,one box,mismatch,E16_4_1.jpg,E16_4_2.jpg
1,43,X25,On Number 5 there is a phone.,1,,,,,X25_9_1.jpg,X25_9_2.jpg
1,44,X10,"The doll is on Number 6, on the same line as the electrician.",2,,,,,X10_9_1.jpg,X10_9_2.jpg
1,45,36,The florist below the wizard is on Number 4.,2,1,2,two boxes,mismatch,E36_2_1.jpg,E36_2_2.jpg
1,46,X28,On Number 3 there is a bag.,1,,,,,X28_9_1.jpg,X28_9_2.jpg
1,47,X72,The kennel is next to the rooster and it is on Number 6.,2,,,,,X72_9_1.jpg,X72_9_2.jpg
1,48,7,The king above the sailor is on Number 1.,1,0,3,one box,match,E07_3_1.jpg,E07_3_2.jpg
1,49,X30,"The shower is on Number 4, below the pharaoh.",1,,,,,X30_9_1.jpg,X30_9_2.jpg
1,50,X16,There is a croissant on Number 5.,1,,,,,X16_9_1.jpg,X16_9_2.jpg
1,51,11,The grandmother below the girl is on Number 5.,2,0,1,two boxes,match,E11_1_1.jpg,E11_1_2.jpg
1,52,X53,"The folder is on the same line as the sportswoman, and it is on Number 6.",2,,,,,X53_9_1.jpg,X53_9_2.jpg
1,53,X59,"The trumpeter is on Number 3, and he is above the scarf.",1,,,,,X59_9_1.jpg,X59_9_2.jpg
1,54,19,The mechanic next to the nun is on Number 4.,2,1,2,two boxes,mismatch,E19_2_1.jpg,E19_2_2.jpg
1,55,X34,"The harp is on Number 4, below the pigeon.",2,,,,,X34_9_1.jpg,X34_9_2.jpg
1,56,X65,There is a cake on Number 3.,1,,,,,X65_9_1.jpg,X65_9_2.jpg
1,57,9,The boxer above the sheriff is on Number 2.,1,0,3,one box,match,E09_3_1.jpg,E09_3_2.jpg
1,58,X58,"The stapler is on Number 3, above the cowboy.",1,,,,,X58_9_1.jpg,X58_9_2.jpg
1,59,X38,"The panda is on Number 5, below the sponge and the koala.",2,,,,,X38_9_1.jpg,X38_9_2.jpg
1,60,10,The wizard next to the firefighter is on Number 6.,2,0,1,two boxes,match,E10_1_1.jpg,E10_1_2.jpg
1,61,X23,"The golfer is on Number 1, and it is above the screw.",2,,,,,X23_9_1.jpg,X23_9_2.jpg
1,62,X17,The charger is on Number 6 and the chef is on Number 4.,1,,,,,X17_9_1.jpg,X17_9_2.jpg
1,63,39,The cheerleader below the soldier is on Number 4.,1,1,4,one box,mismatch,E39_4_1.jpg,E39_4_2.jpg
1,64,X36,The horse and the computer are above the orange.,2,,,,,X36_9_1.jpg,X36_9_2.jpg
1,65,X03,On Number 5 there is a cactus.,1,,,,,X03_9_1.jpg,X03_9_2.jpg
1,66,1,The prince next to the bricklayer is on Number 3.,2,0,1,two boxes,match,E01_1_1.jpg,E01_1_2.jpg
1,67,X48,"The baby is on Number 1, and it is on the same line as the calculator.",1,,,,,X48_9_1.jpg,X48_9_2.jpg
1,68,X01,"The shell is on Number 6, and it is below the basil and the oven.",2,,,,,X01_9_1.jpg,X01_9_2.jpg
1,69,8,The hairdresser next to the bride is on Number 1.,1,0,3,one box,match,E08_3_1.jpg,E08_3_2.jpg
1,70,X50,There is a CD on Number 5.,1,,,,,X50_9_1.jpg,X50_9_2.jpg
1,71,X18,"The bee is on Number 1, above the police man and the chocolate.",3,,,,,X18_9_1.jpg,X18_9_2.jpg
1,72,30,The fortune-teller below the boxer is on Number 5.,1,1,4,one box,mismatch,E30_4_1.jpg,E30_4_2.jpg
1,73,X47,The gift is on Number 5.,1,,,,,X47_9_1.jpg,X47_9_2.jpg
1,74,X05,The lion and the slide are below the drum kit.,2,,,,,X05_9_1.jpg,X05_9_2.jpg
1,75,13,The dame below the bellboy is on Number 5.,2,1,2,two boxes,mismatch,E13_2_1.jpg,E13_2_2.jpg
1,76,X14,On Number 6 there is a magician.,1,,,,,X14_9_1.jpg,X14_9_2.jpg
1,77,X54,There is a stairway on Number 4.,1,,,,,X54_9_1.jpg,X54_9_2.jpg
1,78,29,The general next to the dressmaker is on Number 1.,1,1,4,one box,mismatch,E29_4_1.jpg,E29_4_2.jpg
1,79,X33,"The monk is on Number 3, above the volley player and the prune.",2,,,,,X33_9_1.jpg,X33_9_2.jpg
1,80,X35,"The cow is on Number 5, and it is below the dentist.",1,,,,,X35_9_1.jpg,X35_9_2.jpg
1,81,6,The soldier above the footballer is on Number 3.,1,0,3,one box,match,E06_3_1.jpg,E06_3_2.jpg
1,82,X39,The crown and the clown are below the jester.,3,,,,,X39_9_1.jpg,X39_9_2.jpg
1,83,X44,"The leaf is on Number 5, below the pope.",1,,,,,X44_9_1.jpg,X44_9_2.jpg
1,84,28,The witch below the florist is on Number 4.,2,0,1,two boxes,match,E28_1_1.jpg,E28_1_2.jpg
1,85,X37,On Number 3 there is a post-it.,1,,,,,X37_9_1.jpg,X37_9_2.jpg
1,86,X42,"The bamboo is on Number 1, above the printer.",2,,,,,X42_9_1.jpg,X42_9_2.jpg
1,87,35,The makeup artist above the priest is on Number 1.,2,1,2,two boxes,mismatch,E35_2_1.jpg,E35_2_2.jpg
1,88,X60,The pirate is on Number 3 above the door.,1,,,,,X60_9_1.jpg,X60_9_2.jpg
1,89,X57,"The astronaut is on Number 3, on the same line as the light bulb.",2,,,,,X57_9_1.jpg,X57_9_2.jpg
1,90,32,The housekeeper above the cheerleader is on Number 1.,1,0,3,one box,match,E32_3_1.jpg,E32_3_2.jpg
1,91,X63,The bus is on Number 5.,1,,,,,X63_9_1.jpg,X63_9_2.jpg
1,92,X49,"The refrigerator is on Number 6, below the ant.",1,,,,,X49_9_1.jpg,X49_9_2.jpg
1,93,27,The bellboy next to the knight is on Number 2.,2,0,1,two boxes,match,E27_1_1.jpg,E27_1_2.jpg
1,94,X46,The lid is below the swimmer and the Viking.,2,,,,,X46_9_1.jpg,X46_9_2.jpg
1,95,X64,There is an elephant on Number 1.,1,,,,,X64_9_1.jpg,X64_9_2.jpg
1,96,17,The bride next to the barber is on Number 4.,1,1,4,one box,mismatch,E17_4_1.jpg,E17_4_2.jpg
1,97,X71,"The pig is on Number 6, below the mug.",2,,,,,X71_9_1.jpg,X71_9_2.jpg
1,98,X43,The umbrella is above the jug that is on Number 6. ,1,,,,,X43_9_1.jpg,X43_9_2.jpg
1,99,26,The boy above the grandmother is on Number 2.,2,1,2,two boxes,mismatch,E26_2_1.jpg,E26_2_2.jpg
1,100,X29,"Next to the skater, there is a cocktail on Number 2.",1,,,,,X29_9_1.jpg,X29_9_2.jpg
1,101,X45,"The nut is on Number 3, and it is above the gladiator and the microwave.",3,,,,,X45_9_1.jpg,X45_9_2.jpg
1,102,34,The nun next to the makeup artist is on Number 3.,2,0,1,two boxes,match,E34_1_1.jpg,E34_1_2.jpg
1,103,X66,The rugby player is on Number 2.,1,,,,,X66_9_1.jpg,X66_9_2.jpg
1,104,X12,"There is a screen on Number 4, below the stewardess and the coat hanger.",2,,,,,X12_9_1.jpg,X12_9_2.jpg
1,105,33,The miner below the general is on Number 6.,1,0,3,one box,match,E33_3_1.jpg,E33_3_2.jpg
1,106,X68,There is a radiator on the same line as the waitress.,1,,,,,X68_9_1.jpg,X68_9_2.jpg
1,107,X76,"The iron and the squirrel are above the rope, which is on Number 6.",2,,,,,X76_9_1.jpg,X76_9_2.jpg
1,108,14,The sheriff next to the ballerina is on Number 6.,1,1,4,one box,mismatch,E14_4_1.jpg,E14_4_2.jpg
1,109,X67,"The tweezers are on Number 4, on the same line as the hunter.",1,,,,,X67_9_1.jpg,X67_9_2.jpg
1,110,X70,The microphone is on Number 1.,2,,,,,X70_9_1.jpg,X70_9_2.jpg
1,111,12,The firefighter next to the witch is on Number 2.,2,1,2,two boxes,mismatch,E12_2_1.jpg,E12_2_2.jpg
1,112,X07,"The Indian is on Number 2, next to the nail.",1,,,,,X07_9_1.jpg,X07_9_2.jpg
1,113,X61,"The hedgehog is on Number 3, above the watermelon.",2,,,,,X61_9_1.jpg,X61_9_2.jpg
1,114,X73,"On the same line as the painter, there is a pizza.",1,,,,,X73_9_1.jpg,X73_9_2.jpg
1,115,23,The princess next to the cashier is on Number 5.,2,0,1,two boxes,match,E23_1_1.jpg,E23_1_2.jpg
1,116,X75,"The lock is on Number 2, above the shopping cart and the whistle.",1,,,,,X75_9_1.jpg,X75_9_2.jpg
1,117,X11,"The plant is on Number 4, below the crocodile and the lighter.",2,,,,,X11_9_1.jpg,X11_9_2.jpg
1,118,38,The knight above the secretary is on Number 2.,2,1,2,two boxes,mismatch,E38_2_1.jpg,E38_2_2.jpg
1,119,X51,On Number 6 there is an eagle.,1,,,,,X51_9_1.jpg,X51_9_2.jpg
1,120,X04,"On Number 5, below the scooter, there is a singer.",2,,,,,X04_9_1.jpg,X04_9_2.jpg
1,121,X77,The lemon is on Number 4.,1,,,,,X77_9_1.jpg,X77_9_2.jpg
1,122,21,The queen below the fairy is on Number 6.,1,0,3,one box,match,E21_3_1.jpg,E21_3_2.jpg
1,123,X78,"The candle is on Number 3, above the beekeeper.",2,,,,,X78_9_1.jpg,X78_9_2.jpg
1,124,X06,"The bath tub is on Number 2, above the biscuit and the bouncer.",1,,,,,X06_9_1.jpg,X06_9_2.jpg
1,125,X74,"On Number 2, there is a stool.",1,,,,,X74_9_1.jpg,X74_9_2.jpg
1,126,20,The nymph next to the miner is on Number 5.,1,1,4,one box,mismatch,E20_4_1.jpg,E20_4_2.jpg
2,2,P1,The swimmer is below the drill.,,,,,,Filler1.jpg,Filler2.jpg
2,3,P2,The monkey next to the grapes is on Number 2.,,,,,,P2_1.jpg,P2_2.jpg
2,4,P4,The woman above the piano and the coat is on Number 1.,,,,,,P4_1.jpg,P4_2.jpg
2,5,X09,The delivery man is on the same line as the hand.,2,,,,,X09_9_1.jpg,X09_9_2.jpg
2,6,P6,The waiter is on number 5 and he is below the pipe.,1,,,,,P6_1.jpg,P6_2.jpg
2,7,X62,The teacher is on Number 5.,1,,,,,X62_9_1.jpg,X62_9_2.jpg
2,8,22,The grandfather below the boy is on Number 4.,1,0,3,one box,match,E22_3_1.jpg,E22_3_2.jpg
2,9,X20,The diamond is next to the earth.,2,,,,,X20_9_1.jpg,X20_9_2.jpg
2,10,X41,"On Number 5, there is a helmet.",1,,,,,X41_9_1.jpg,X41_9_2.jpg
2,11,25,The fairy below the king is on Number 4.,2,1,2,two boxes,mismatch,E25_2_1.jpg,E25_2_2.jpg
2,12,P5,The tractor below the wheelbarrow is on Number 4.,2,,,,,P5_1.jpg,P5_2.jpg
2,13,37,The barber next to the groom is on Number 3.,2,0,1,two boxes,match,E37_1_1.jpg,E37_1_2.jpg
2,14,X69,"The surgeon and the hamster are above the pot, which is on Number 4.",1,,,,,X69_9_1.jpg,X69_9_2.jpg
2,15,24,The cashier next to the prince is on Number 2.,1,1,4,one box,mismatch,E24_4_1.jpg,E24_4_2.jpg
2,16,X27,The olive is above the cat.,2,,,,,X27_9_1.jpg,X27_9_2.jpg
2,17,X55,There is a pineapple on Number 3.,1,,,,,X55_9_1.jpg,X55_9_2.jpg
2,18,15,The priest next to the mechanic is on Number 5.,1,0,3,one box,match,E15_3_1.jpg,E15_3_2.jpg
2,19,X31,The socket is next to the detective.,1,,,,,X31_9_1.jpg,X31_9_2.jpg
2,20,X15,"The moon is on Number 1, above the camera and the train.",2,,,,,X15_9_1.jpg,X15_9_2.jpg
2,21,31,The ballerina next to the fortune-teller is on Number 6.,2,0,1,two boxes,match,E31_1_1.jpg,E31_1_2.jpg
2,22,X02,The keyboard is on Number 3.,1,,,,,X02_9_1.jpg,X02_9_2.jpg
2,23,X52,"Below the goat, the dog is on Number 5.",2,,,,,X52_9_1.jpg,X52_9_2.jpg
2,24,4,The bricklayer below the princess is on Number 4.,1,1,4,one box,mismatch,E04_4_1.jpg,E04_4_2.jpg
2,25,X26,On Number 3 there is a broom.,1,,,,,X26_9_1.jpg,X26_9_2.jpg
2,26,X08,"The spoon is on Number 2, above the sheep.",2,,,,,X08_9_1.jpg,X08_9_2.jpg
2,27,2,The sailor above the queen is on Number 2.,2,1,2,two boxes,mismatch,E02_2_1.jpg,E02_2_2.jpg
2,28,X80,The daisy is next to the lifeguard.,2,,,,,X80_9_1.jpg,X80_9_2.jpg
2,29,X13,The comb is on Number 3.,1,,,,,X13_9_1.jpg,X13_9_2.jpg
2,30,5,The secretary below the dame is on Number 6.,1,0,3,one box,match,E05_3_1.jpg,E05_3_2.jpg
2,31,X32,There is a giraffe on the same line as the van.,2,,,,,X32_9_1.jpg,X32_9_2.jpg
2,32,X24,The book is on Number 4.,1,,,,,X24_9_1.jpg,X24_9_2.jpg
2,33,40,The groom next to the hairdresser is on Number 3.,2,1,2,two boxes,mismatch,E40_2_1.jpg,E40_2_2.jpg
2,34,X40,"There is a swing above the thief, and it is on Number 1.",1,,,,,X40_9_1.jpg,X40_9_2.jpg
2,35,X21,The interphone is on Number 3.,2,,,,,X21_9_1.jpg,X21_9_2.jpg
2,36,3,The girl next to the grandfather is on Number 1.,1,1,4,one box,mismatch,E03_4_1.jpg,E03_4_2.jpg
2,37,X79,The envelope is on Number 5.,1,,,,,X79_9_1.jpg,X79_9_2.jpg
2,38,X22,"The ladybug is on Number 2, above the headphones and the canary.",2,,,,,X22_9_1.jpg,X22_9_2.jpg
2,39,18,The dressmaker above the nymph is on Number 3.,2,0,1,two boxes,match,E18_1_1.jpg,E18_1_2.jpg
2,40,X19,The turtle is on Number 5 and it is next to the gardener.,1,,,,,X19_9_1.jpg,X19_9_2.jpg
2,41,X56,"The pilot is below the carrot, and he is on Number 6.",2,,,,,X56_9_1.jpg,X56_9_2.jpg
2,42,16,The footballer above the housekeeper is on Number 1.,2,1,2,two boxes,mismatch,E16_2_1.jpg,E16_2_2.jpg
2,43,X25,On Number 5 there is a phone.,1,,,,,X25_9_1.jpg,X25_9_2.jpg
2,44,X10,"The doll is on Number 6, on the same line as the electrician.",2,,,,,X10_9_1.jpg,X10_9_2.jpg
2,45,36,The florist below the wizard is on Number 4.,1,1,4,one box,mismatch,E36_4_1.jpg,E36_4_2.jpg
2,46,X28,On Number 3 there is a bag.,1,,,,,X28_9_1.jpg,X28_9_2.jpg
2,47,X72,The kennel is next to the rooster and it is on Number 6.,2,,,,,X72_9_1.jpg,X72_9_2.jpg
2,48,7,The king above the sailor is on Number 1.,2,0,1,two boxes,match,E07_1_1.jpg,E07_1_2.jpg
2,49,X30,"The shower is on Number 4, below the pharaoh.",1,,,,,X30_9_1.jpg,X30_9_2.jpg
2,50,X16,There is a croissant on Number 5.,1,,,,,X16_9_1.jpg,X16_9_2.jpg
2,51,11,The grandmother below the girl is on Number 5.,1,0,3,one box,match,E11_3_1.jpg,E11_3_2.jpg
2,52,X53,"The folder is on the same line as the sportswoman, and it is on Number 6.",2,,,,,X53_9_1.jpg,X53_9_2.jpg
2,53,X59,"The trumpeter is on Number 3, and he is above the scarf.",1,,,,,X59_9_1.jpg,X59_9_2.jpg
2,54,19,The mechanic next to the nun is on Number 4.,1,1,4,one box,mismatch,E19_4_1.jpg,E19_4_2.jpg
2,55,X34,"The harp is on Number 4, below the pigeon.",2,,,,,X34_9_1.jpg,X34_9_2.jpg
2,56,X65,There is a cake on Number 3.,1,,,,,X65_9_1.jpg,X65_9_2.jpg
2,57,9,The boxer above the sheriff is on Number 2.,2,0,1,two boxes,match,E09_1_1.jpg,E09_1_2.jpg
2,58,X58,"The stapler is on Number 3, above the cowboy.",1,,,,,X58_9_1.jpg,X58_9_2.jpg
2,59,X38,"The panda is on Number 5, below the sponge and the koala.",2,,,,,X38_9_1.jpg,X38_9_2.jpg
2,60,10,The wizard next to the firefighter is on Number 6.,1,0,3,one box,match,E10_3_1.jpg,E10_3_2.jpg
2,61,X23,"The golfer is on Number 1, and it is above the screw.",2,,,,,X23_9_1.jpg,X23_9_2.jpg
2,62,X17,The charger is on Number 6 and the chef is on Number 4.,1,,,,,X17_9_1.jpg,X17_9_2.jpg
2,63,39,The cheerleader below the soldier is on Number 4.,2,1,2,two boxes,mismatch,E39_2_1.jpg,E39_2_2.jpg
2,64,X36,The horse and the computer are above the orange.,2,,,,,X36_9_1.jpg,X36_9_2.jpg
2,65,X03,On Number 5 there is a cactus.,1,,,,,X03_9_1.jpg,X03_9_2.jpg
2,66,1,The prince next to the bricklayer is on Number 3.,1,0,3,one box,match,E01_3_1.jpg,E01_3_2.jpg
2,67,X48,"The baby is on Number 1, and it is on the same line as the calculator.",1,,,,,X48_9_1.jpg,X48_9_2.jpg
2,68,X01,"The shell is on Number 6, and it is below the basil and the oven.",2,,,,,X01_9_1.jpg,X01_9_2.jpg
2,69,8,The hairdresser next to the bride is on Number 1.,2,0,1,two boxes,match,E08_1_1.jpg,E08_1_2.jpg
2,70,X50,There is a CD on Number 5.,1,,,,,X50_9_1.jpg,X50_9_2.jpg
2,71,X18,"The bee is on Number 1, above the police man and the chocolate.",2,,,,,X18_9_1.jpg,X18_9_2.jpg
2,72,30,The fortune-teller below the boxer is on Number 5.,2,1,2,two boxes,mismatch,E30_2_1.jpg,E30_2_2.jpg
2,73,X47,The gift is on Number 5.,1,,,,,X47_9_1.jpg,X47_9_2.jpg
2,74,X05,The lion and the slide are below the drum kit.,2,,,,,X05_9_1.jpg,X05_9_2.jpg
2,75,13,The dame below the bellboy is on Number 5.,1,1,4,one box,mismatch,E13_4_1.jpg,E13_4_2.jpg
2,76,X14,On Number 6 there is a magician.,1,,,,,X14_9_1.jpg,X14_9_2.jpg
2,77,X54,There is a stairway on Number 4.,1,,,,,X54_9_1.jpg,X54_9_2.jpg
2,78,29,The general next to the dressmaker is on Number 1.,2,1,2,two boxes,mismatch,E29_2_1.jpg,E29_2_2.jpg
2,79,X33,"The monk is on Number 3, above the volley player and the prune.",2,,,,,X33_9_1.jpg,X33_9_2.jpg
2,80,X35,"The cow is on Number 5, and it is below the dentist.",1,,,,,X35_9_1.jpg,X35_9_2.jpg
2,81,6,The soldier above the footballer is on Number 3.,2,0,1,two boxes,match,E06_1_1.jpg,E06_1_2.jpg
2,82,X39,The crown and the clown are below the jester.,2,,,,,X39_9_1.jpg,X39_9_2.jpg
2,83,X44,"The leaf is on Number 5, below the pope.",1,,,,,X44_9_1.jpg,X44_9_2.jpg
2,84,28,The witch below the florist is on Number 4.,1,0,3,one box,match,E28_3_1.jpg,E28_3_2.jpg
2,85,X37,On Number 3 there is a post-it.,1,,,,,X37_9_1.jpg,X37_9_2.jpg
2,86,X42,"The bamboo is on Number 1, above the printer.",2,,,,,X42_9_1.jpg,X42_9_2.jpg
2,87,35,The makeup artist above the priest is on Number 1.,1,1,4,one box,mismatch,E35_4_1.jpg,E35_4_2.jpg
2,88,X60,The pirate is on Number 3 above the door.,1,,,,,X60_9_1.jpg,X60_9_2.jpg
2,89,X57,"The astronaut is on Number 3, on the same line as the light bulb.",2,,,,,X57_9_1.jpg,X57_9_2.jpg
2,90,32,The housekeeper above the cheerleader is on Number 1.,2,0,1,two boxes,match,E32_1_1.jpg,E32_1_2.jpg
2,91,X63,The bus is on Number 5.,1,,,,,X63_9_1.jpg,X63_9_2.jpg
2,92,X49,"The refrigerator is on Number 6, below the ant.",1,,,,,X49_9_1.jpg,X49_9_2.jpg
2,93,27,The bellboy next to the knight is on Number 2.,1,0,3,one box,match,E27_3_1.jpg,E27_3_2.jpg
2,94,X46,The lid is below the swimmer and the Viking.,2,,,,,X46_9_1.jpg,X46_9_2.jpg
2,95,X64,There is an elephant on Number 1.,1,,,,,X64_9_1.jpg,X64_9_2.jpg
2,96,17,The bride next to the barber is on Number 4.,2,1,2,two boxes,mismatch,E17_2_1.jpg,E17_2_2.jpg
2,97,X71,"The pig is on Number 6, below the mug.",2,,,,,X71_9_1.jpg,X71_9_2.jpg
2,98,X43,The umbrella is above the jug that is on Number 6. ,1,,,,,X43_9_1.jpg,X43_9_2.jpg
2,99,26,The boy above the grandmother is on Number 2.,1,1,4,one box,mismatch,E26_4_1.jpg,E26_4_2.jpg
2,100,X29,"Next to the skater, there is a cocktail on Number 2.",1,,,,,X29_9_1.jpg,X29_9_2.jpg
2,101,X45,"The nut is on Number 3, and it is above the gladiator and the microwave.",2,,,,,X45_9_1.jpg,X45_9_2.jpg
2,102,34,The nun next to the makeup artist is on Number 3.,1,0,3,one box,match,E34_3_1.jpg,E34_3_2.jpg
2,103,X66,The rugby player is on Number 2.,1,,,,,X66_9_1.jpg,X66_9_2.jpg
2,104,X12,"There is a screen on Number 4, below the stewardess and the coat hanger.",2,,,,,X12_9_1.jpg,X12_9_2.jpg
2,105,33,The miner below the general is on Number 6.,2,0,1,two boxes,match,E33_1_1.jpg,E33_1_2.jpg
2,106,X68,There is a radiator on the same line as the waitress.,1,,,,,X68_9_1.jpg,X68_9_2.jpg
2,107,X76,"The iron and the squirrel are above the rope, which is on Number 6.",2,,,,,X76_9_1.jpg,X76_9_2.jpg
2,108,14,The sheriff next to the ballerina is on Number 6.,2,1,2,two boxes,mismatch,E14_2_1.jpg,E14_2_2.jpg
2,109,X67,"The tweezers are on Number 4, on the same line as the hunter.",1,,,,,X67_9_1.jpg,X67_9_2.jpg
2,110,X70,The microphone is on Number 1.,2,,,,,X70_9_1.jpg,X70_9_2.jpg
2,111,12,The firefighter next to the witch is on Number 2.,1,1,4,one box,mismatch,E12_4_1.jpg,E12_4_2.jpg
2,112,X07,"The Indian is on Number 2, next to the nail.",1,,,,,X07_9_1.jpg,X07_9_2.jpg
2,113,X61,"The hedgehog is on Number 3, above the watermelon.",2,,,,,X61_9_1.jpg,X61_9_2.jpg
2,114,X73,"On the same line as the painter, there is a pizza.",1,,,,,X73_9_1.jpg,X73_9_2.jpg
2,115,23,The princess next to the cashier is on Number 5.,1,0,3,one box,match,E23_3_1.jpg,E23_3_2.jpg
2,116,X75,"The lock is on Number 2, above the shopping cart and the whistle.",1,,,,,X75_9_1.jpg,X75_9_2.jpg
2,117,X11,"The plant is on Number 4, below the crocodile and the lighter.",2,,,,,X11_9_1.jpg,X11_9_2.jpg
2,118,38,The knight above the secretary is on Number 2.,1,1,4,one box,mismatch,E38_4_1.jpg,E38_4_2.jpg
2,119,X51,On Number 6 there is an eagle.,1,,,,,X51_9_1.jpg,X51_9_2.jpg
2,120,X04,"On Number 5, below the scooter, there is a singer.",2,,,,,X04_9_1.jpg,X04_9_2.jpg
2,121,X77,The lemon is on Number 4.,1,,,,,X77_9_1.jpg,X77_9_2.jpg
2,122,21,The queen below the fairy is on Number 6.,2,0,1,two boxes,match,E21_1_1.jpg,E21_1_2.jpg
2,123,X78,"The candle is on Number 3, above the beekeeper.",2,,,,,X78_9_1.jpg,X78_9_2.jpg
2,124,X06,"The bath tub is on Number 2, above the biscuit and the bouncer.",1,,,,,X06_9_1.jpg,X06_9_2.jpg
2,125,X74,"On Number 2, there is a stool.",1,,,,,X74_9_1.jpg,X74_9_2.jpg
2,126,20,The nymph next to the miner is on Number 5.,2,1,2,two boxes,mismatch,E20_2_1.jpg,E20_2_2.jpg
3,2,P1,The swimmer is below the drill.,,,,,,Filler1.jpg,Filler2.jpg
3,3,P2,The monkey next to the grapes is on Number 2.,,,,,,P2_1.jpg,P2_2.jpg
3,4,P4,The woman above the piano and the coat is on Number 1.,,,,,,P4_1.jpg,P4_2.jpg
3,5,X09,The delivery man is on the same line as the hand.,2,,,,,X09_9_1.jpg,X09_9_2.jpg
